date,AAPL,MSFT,JNJ,UNH,JPM,GS,XOM,CVX,AMZN,HD,PG,CAT,HON,NEE,META,TLT,GLD,UUP
2020-10-02,109.737539031,196.8607055227,125.3597792315,284.2024629442,84.3509352336,175.6789876171,26.1440547569,56.1425250659,156.25,244.2143613499,120.3136123477,135.1882771514,139.6568604997,61.1724805312,257.9356560876,137.2247840382,178.54,21.8724930534
2020-10-05,113.1164687411,200.861124341,127.0656460304,289.8231091278,86.1174018515,177.3487728921,26.7465253941,57.3333554192,159.96,246.6537944821,121.4198843408,138.3890133385,142.2794849556,62.6388621465,262.6093382457,134.5435255851,179.41,21.777657648
2020-10-06,109.8734729849,196.5933744323,125.3769236214,286.4525433451,85.2304899988,176.7248004999,26.4690718111,57.01790367,154.998,241.731210778,121.6115220089,136.6218463169,140.7362686359,63.1544889163,256.6655259045,135.2686457957,177.3,21.8380074515
2020-10-07,111.7377100663,200.336009699,126.7656192064,294.3961470276,86.7173716342,178.9306747316,26.5562715086,58.185075142,159.7845,247.2570951492,122.5609995462,139.5430815975,144.6659888818,64.6426269354,256.1296897335,134.2821450441,177.22,21.81214325
2020-10-08,111.6309048168,201.0520751199,127.6314108983,293.7038145965,88.4998905538,182.7799692076,27.9514666685,59.3207014392,159.5275,248.769718561,123.3885258402,141.2471355111,146.5465202441,65.4954779639,261.7262008527,135.0072652546,177.85,21.8035218495
2020-10-09,113.5728184433,206.0454379886,129.4144274519,298.6503476236,87.9955681278,182.3932820913,27.5392499167,58.3585736041,164.3325,249.9938068711,124.4947978333,143.3028195975,147.052492808,65.9023227147,262.4108804046,134.9819703636,181.08,21.6742008421
2020-10-12,120.7870275656,211.3825122593,130.1602084143,300.590700358,89.0737746937,188.1760121489,27.4520502192,58.7607745844,172.1465,250.8594121761,125.8623939192,146.6117496838,147.8789146623,66.5027994593,273.6237484271,135.4119835117,180.56,21.6483366406
2020-10-13,117.5828700819,212.7764529453,127.177084565,301.9115977593,87.6303691296,185.267070433,27.1270331649,57.8853959803,172.1815,253.8759155116,125.6184914325,146.1699579284,144.6659888818,65.5890305002,274.0107412173,136.3816210026,177.72,21.777657648
2020-10-14,117.6702561951,210.8669451562,126.9542074958,293.1936749105,87.143437132,185.6361808622,27.0715424484,57.5305127624,168.1855,251.0167949588,125.4704077799,147.5133655112,146.2851010861,65.4084523487,269.7240518494,136.6935913258,178.27,21.725929245
2020-10-15,117.2041969248,209.7212404827,126.1741377535,295.6714962427,88.4477192683,183.3248465079,27.3093598051,57.9721452113,166.9325,251.4102519156,125.2874809149,148.8026761443,145.5598737446,64.9341627461,264.6633769011,136.4575056758,178.92,21.829386051
2020-10-16,115.5632799104,209.7212404827,126.9542074958,300.5269328972,88.2651197693,181.2244323988,27.0319062222,57.483195,163.6355,251.5151737707,125.7752858882,152.1476708637,147.4572708591,66.4875699766,263.8794684288,136.0780823098,178.3,21.8035218495
