date,drawdown
2020-12-15,-0.0003053693166582564
2020-12-16,0.0
2020-12-17,0.0
2020-12-18,-0.005013293681834238
2020-12-21,-0.0017860272709510812
2020-12-22,-0.00782422064902311
2020-12-23,-0.004046087087196348
2020-12-24,-0.001624370553046064
2020-12-28,0.0
2020-12-29,-0.0027480890378780835
2020-12-30,-0.0019387649831297917
2020-12-31,0.0
2021-01-04,-0.007920370806208755
2021-01-05,0.0
2021-01-06,0.0
2021-01-07,0.0
2021-01-08,0.0
2021-01-11,-0.0038035965913370217
2021-01-12,-1.7590476882729534e-06
2021-01-13,0.0
2021-01-14,0.0
2021-01-15,-0.007882035487760905
2021-01-19,-0.0018476418067794585
2021-01-20,0.0
2021-01-21,-0.0006716995400549107
2021-01-22,-0.0015570183089995322
2021-01-25,0.0
2021-01-26,-0.0016767906498249508
2021-01-27,-0.022083076618129433
2021-01-28,-0.015321127205778527
2021-01-29,-0.035133666308890456
2021-02-01,-0.02549551822402295
2021-02-02,-0.014336650203716673
2021-02-03,-0.011952009314946568
2021-02-04,-0.007830041676625935
2021-02-05,-0.004010559241057823
2021-02-08,0.0
2021-02-09,-0.00075378662199859
2021-02-10,0.0
2021-02-11,-0.0038555988552004504
2021-02-12,-0.00271342100438005
2021-02-16,-0.0014616202643323614
2021-02-17,0.0
2021-02-18,-0.0022563774523368493
2021-02-19,-0.006084966963967114
2021-02-22,-0.006806015918997089
2021-02-23,-0.004595618116216952
2021-02-24,0.0
2021-02-25,-0.01472695216622419
2021-02-26,-0.021378814257362645
2021-03-01,-0.004054338819751549
2021-03-02,-0.009866487633502867
2021-03-03,-0.01806737126274052
2021-03-04,-0.02418771048125552
2021-03-05,-0.008444826848106702
2021-03-08,-0.009627979923810415
2021-03-09,0.0
2021-03-10,0.0
2021-03-11,0.0
2021-03-12,0.0
2021-03-15,0.0
2021-03-16,-0.002360516091672573
2021-03-17,-0.0008976712881140919
2021-03-18,-0.01039382242222481
2021-03-19,-0.010093109708437215
2021-03-22,-0.006942666143367819
2021-03-23,-0.009083035278247085
2021-03-24,-0.007972106269778368
2021-03-25,-0.006359252135973502
2021-03-26,0.0
2021-03-29,0.0
2021-03-30,-0.003834888802030465
2021-03-31,-0.0024516982229739683
2021-04-01,0.0
2021-04-05,0.0
2021-04-06,-0.0017726736571937536
2021-04-07,0.0
2021-04-08,0.0
2021-04-09,0.0
2021-04-12,-0.0012377951197700752
2021-04-13,-0.0007386244411615728
2021-04-14,-0.0009166443739017712
2021-04-15,0.0
2021-04-16,0.0
2021-04-19,-0.00385223406115304
2021-04-20,-0.009298548715939072
2021-04-21,-0.004874113470619441
2021-04-22,-0.014615583970042112
2021-04-23,-0.008939330029487283
2021-04-26,-0.009974374354576486
2021-04-27,-0.008887781576246602
2021-04-28,-0.006088482039931446
2021-04-29,0.0
2021-04-30,-0.006840986428619642
2021-05-03,-0.0017333579857264686
2021-05-04,-0.0021271594001969476
2021-05-05,0.0
2021-05-06,0.0
2021-05-07,0.0
2021-05-10,-0.0040872474328278625
2021-05-11,-0.015301494407598074
2021-05-12,-0.030111084242805453
2021-05-13,-0.02057606566586798
2021-05-14,-0.007807751417286589
2021-05-17,-0.006970488948052747
2021-05-18,-0.017516792520130747
2021-05-19,-0.021987527148895167
2021-05-20,-0.01640577061261296
2021-05-21,-0.015097815663547948
2021-05-24,-0.008327467112594768
2021-05-25,-0.010326397485867866
2021-05-26,-0.009177943082554695
2021-05-27,-0.00884995772719089
2021-05-28,-0.009160644643274379
2021-06-01,-0.007372078064422035
2021-06-02,-0.0048919264706037465
2021-06-03,-0.007105770475246673
2021-06-04,-0.0017361660126424523
2021-06-07,-0.004108633259925588
2021-06-08,-0.0028481981583876425
2021-06-09,-0.004848324634880391
2021-06-10,-0.0048082535135828075
2021-06-11,-0.007686242567966906
2021-06-14,-0.007931749449428115
2021-06-15,-0.007514842603698487
2021-06-16,-0.012060226164031441
2021-06-17,-0.016096502974383885
2021-06-18,-0.029071177399425562
2021-06-21,-0.016662157524578954
2021-06-22,-0.011899941056693794
2021-06-23,-0.012355527473286828
2021-06-24,-0.007695391612778039
2021-06-25,-0.006387034883392139
2021-06-28,-0.004282931955338309
2021-06-29,-0.0053820728531922745
2021-06-30,-0.0011075907227751066
2021-07-01,0.0
2021-07-02,0.0
2021-07-06,-0.002036910673278574
2021-07-07,0.0
2021-07-08,-0.006417401466877449
2021-07-09,0.0
2021-07-12,0.0
2021-07-13,-0.003481257975884355
2021-07-14,-0.003014253081799079
2021-07-15,-0.0019213458440622306
2021-07-16,-0.010889884629154772
2021-07-19,-0.025931250457270405
2021-07-20,-0.014695080189896082
2021-07-21,-0.00783317972589887
2021-07-22,-0.005974756375200886
2021-07-23,0.0
2021-07-26,0.0
2021-07-27,-0.0028961415348422925
2021-07-28,-0.003592917651495205
2021-07-29,-0.001441221144715041
2021-07-30,-0.009180285887041922
2021-08-02,-0.009350181431039422
2021-08-03,-0.0012355255184135004
2021-08-04,-0.00654824958343945
2021-08-05,-0.0025411637712104804
2021-08-06,-0.00105081391494076
2021-08-09,-0.004564927061666091
2021-08-10,0.0
2021-08-11,0.0
2021-08-12,0.0
2021-08-13,0.0
2021-08-16,0.0
2021-08-17,-0.007093815975030949
2021-08-18,-0.016939504158150414
2021-08-19,-0.018555268630063466
2021-08-20,-0.01245872254104518
2021-08-23,-0.0058331830964243265
2021-08-24,-0.004173344938420122
2021-08-25,-0.0034495667806833594
2021-08-26,-0.007811321315703092
2021-08-27,-0.0006665322520961283
2021-08-30,0.0
2021-08-31,-0.0028535544350179274
2021-09-01,-0.003192821777008839
2021-09-02,0.0
2021-09-03,-0.0016271405005203422
2021-09-07,-0.005543468286281576
2021-09-08,-0.007214472872794423
2021-09-09,-0.010610515161150734
2021-09-10,-0.01676122294966974
2021-09-13,-0.009626495359826638
2021-09-14,-0.015173816779007206
2021-09-15,-0.009371298167649391
2021-09-16,-0.013968614480151716
2021-09-17,-0.022232940774666903
2021-09-20,-0.03823224806618186
2021-09-21,-0.037524044855874995
2021-09-22,-0.031098065118114398
2021-09-23,-0.023706267359466317
2021-09-24,-0.02239814047461632
2021-09-27,-0.0202817553007967
2021-09-28,-0.03350522976548471
2021-09-29,-0.03227885245115856
2021-09-30,-0.04283099449088621
2021-10-01,-0.03330662007542704
2021-10-04,-0.042686799696387834
2021-10-05,-0.03499489121496349
2021-10-06,-0.031200991533263802
2021-10-07,-0.025347876365928265
2021-10-08,-0.024276141676875338
2021-10-11,-0.03210377556486619
2021-10-12,-0.03379840198589798
2021-10-13,-0.03111286543023691
2021-10-14,-0.01769185664097807
2021-10-15,-0.008635225650083818
2021-10-18,-0.005613656776432122
2021-10-19,0.0
2021-10-20,0.0
2021-10-21,-4.583001551843779e-05
2021-10-22,-0.0014682421751402914
2021-10-25,0.0
2021-10-26,0.0
2021-10-27,-0.004341290734803468
2021-10-28,0.0
2021-10-29,0.0
2021-11-01,-0.0001847036706677852
2021-11-02,0.0
2021-11-03,-0.00022171876646103524
2021-11-04,0.0
2021-11-05,0.0
2021-11-08,0.0
2021-11-09,0.0
2021-11-10,-0.008146236152366478
2021-11-11,-0.008617400538303214
2021-11-12,-0.0018260776869191643
2021-11-15,-0.0005630917816922274
2021-11-16,0.0
2021-11-17,-0.001146474893380468
2021-11-18,0.0
